GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000002795	0		meis3	myeloid ecotropic viral integration site 3 [Source:ZFIN;Acc:ZDB-GENE-010406-2]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000003971	0		isl2a	ISL LIM homeobox 2a [Source:NCBI gene;Acc:30157]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000004074	0		bach2b	BTB and CNC homology 1, basic leucine zipper transcription factor 2b [Source:ZFIN;Acc:ZDB-GENE-041001-139]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000004714	0		tcf12	transcription factor 12 [Source:ZFIN;Acc:ZDB-GENE-040516-11]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000005453	0		foxp2	forkhead box P2 [Source:ZFIN;Acc:ZDB-GENE-041203-2]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000006266	0		stat1a	signal transducer and activator of transcription 1a [Source:ZFIN;Acc:ZDB-GENE-980526-499]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000007812	0		sp3b	Sp3b transcription factor [Source:ZFIN;Acc:ZDB-GENE-110815-3]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000008203	0		pax1a	paired box 1a [Source:ZFIN;Acc:ZDB-GENE-070112-182]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000008209	0		myt1la	myelin transcription factor 1-like, a [Source:ZFIN;Acc:ZDB-GENE-041001-172]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000009418	0		mef2cb	myocyte enhancer factor 2cb [Source:ZFIN;Acc:ZDB-GENE-040901-7]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000012078	0		meis1b	Meis homeobox 1 b [Source:ZFIN;Acc:ZDB-GENE-020122-1]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000013615	0		pbx3b	pre-B-cell leukemia homeobox 3b [Source:ZFIN;Acc:ZDB-GENE-000405-3]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000015536	0		sox6	SRY-box transcription factor 6 [Source:ZFIN;Acc:ZDB-GENE-081120-6]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000016526	0		gata3	GATA binding protein 3 [Source:NCBI gene;Acc:30458]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000018025	0		tbx2a	T-box transcription factor 2a [Source:ZFIN;Acc:ZDB-GENE-990917-4]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000021163	0		thrb	thyroid hormone receptor beta [Source:NCBI gene;Acc:30607]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000023362	0		nr5a1b	nuclear receptor subfamily 5, group A, member 1b [Source:ZFIN;Acc:ZDB-GENE-040702-6]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000026453	0		zgc:66474	zgc:66474 [Source:ZFIN;Acc:ZDB-GENE-030131-5711]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000028148	0		pax2a	paired box 2a [Source:NCBI gene;Acc:30425]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000029263	0		hoxb3a	homeobox B3a [Source:NCBI gene;Acc:30339]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000029764	0		mef2ca	myocyte enhancer factor 2ca [Source:ZFIN;Acc:ZDB-GENE-980526-253]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000030012	0		lrrfip1a	leucine rich repeat (in FLII) interacting protein 1a [Source:ZFIN;Acc:ZDB-GENE-030131-99]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000030297	0		sox13	SRY-box transcription factor 13 [Source:ZFIN;Acc:ZDB-GENE-100519-1]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000030583	0		foxk2	forkhead box K2 [Source:ZFIN;Acc:ZDB-GENE-030131-2861]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000031756	0		mef2aa	myocyte enhancer factor 2aa [Source:ZFIN;Acc:ZDB-GENE-990415-163]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000032578	0		pax2b	paired box 2b [Source:ZFIN;Acc:ZDB-GENE-001030-4]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000034117	0		rarga	retinoic acid receptor gamma a [Source:NCBI gene;Acc:30606]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000034181	0		esr2b	estrogen receptor 2b [Source:ZFIN;Acc:ZDB-GENE-030116-1]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000035732	0		arntl1b	aryl hydrocarbon receptor nuclear translocator-like 1b [Source:ZFIN;Acc:ZDB-GENE-030408-1]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000037154	0		hivep3b	HIVEP zinc finger 3b [Source:ZFIN;Acc:ZDB-GENE-100922-42]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000040237	0		mef2d	myocyte enhancer factor 2d [Source:ZFIN;Acc:ZDB-GENE-990415-164]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000040321	0		rx2	retinal homeobox gene 2 [Source:NCBI gene;Acc:30473]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000042477	0		nr2c2	nuclear receptor subfamily 2, group C, member 2 [Source:ZFIN;Acc:ZDB-GENE-080403-8]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000042824	0		nfe2l2a	nuclear factor, erythroid 2-like 2a [Source:ZFIN;Acc:ZDB-GENE-030723-2]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000052654	0		thrab	thyroid hormone receptor alpha b [Source:ZFIN;Acc:ZDB-GENE-060613-1]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000057231	0		rorca	RAR-related orphan receptor C a [Source:ZFIN;Acc:ZDB-GENE-990415-250]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000061836	0		nfixb	nuclear factor I/Xb [Source:ZFIN;Acc:ZDB-GENE-060421-5000]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000062338	0		zeb2a	zinc finger E-box binding homeobox 2a [Source:ZFIN;Acc:ZDB-GENE-070912-553]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000063649	0		tead3b	TEA domain family member 3 b [Source:ZFIN;Acc:ZDB-GENE-080103-3]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000069440	0		dachd	dachshund d [Source:ZFIN;Acc:ZDB-GENE-070427-2]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000069726	0		glis3	GLIS family zinc finger 3 [Source:ZFIN;Acc:ZDB-GENE-070112-2232]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000070151	0		nfyc	nuclear transcription factor Y, gamma [Source:ZFIN;Acc:ZDB-GENE-030131-2165]
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000070348	0		hoxc10a	homeobox C10a [Source:ZFIN;Acc:ZDB-GENE-990415-110]
