GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0004198	calcium-dependent cysteine-type endopept...	12	2	0.04	0.00059	ENSDARG00000041864	0	-0.23022880189644201	capn3a	calpain 3a, (p94) [Source:ZFIN;Acc:ZDB-GENE-040912-97]
GO:0004198	calcium-dependent cysteine-type endopept...	12	2	0.04	0.00059	ENSDARG00000043035	0	-0.29992851048944524	capn3b	calpain 3b [Source:ZFIN;Acc:ZDB-GENE-041001-149]
GO:0004198	calcium-dependent cysteine-type endopept...	12	2	0.04	0.00059	ENSDARG00000045199	0	-0.01937822883728118	CAPN1	zgc:55262 [Source:ZFIN;Acc:ZDB-GENE-040426-2814]
GO:0004198	calcium-dependent cysteine-type endopept...	12	2	0.04	0.00059	ENSDARG00000052702	0	-0.06674782731371307	capn1a	calpain 1, (mu/I) large subunit a [Source:ZFIN;Acc:ZDB-GENE-040426-1263]
GO:0004198	calcium-dependent cysteine-type endopept...	12	2	0.04	0.00059	ENSDARG00000052748	0	-0.0046147890257451215	capn1b	calpain 1, (mu/I) large subunit b [Source:ZFIN;Acc:ZDB-GENE-060503-491]
GO:0004198	calcium-dependent cysteine-type endopept...	12	2	0.04	0.00059	ENSDARG00000055715	0	-0.12129319327384556	capn8	calpain 8 [Source:ZFIN;Acc:ZDB-GENE-050522-279]
GO:0004198	calcium-dependent cysteine-type endopept...	12	2	0.04	0.00059	ENSDARG00000061850	0	-0.19493229881726726	si:dkey-19b23.13	si:dkey-19b23.13 [Source:ZFIN;Acc:ZDB-GENE-140106-78]
GO:0004198	calcium-dependent cysteine-type endopept...	12	2	0.04	0.00059	ENSDARG00000091699	0	-0.33575507252129067	capn2a	calpain 2, (m/II) large subunit a [Source:ZFIN;Acc:ZDB-GENE-050320-69]
GO:0004198	calcium-dependent cysteine-type endopept...	12	2	0.04	0.00059	ENSDARG00000091723	0	-0.036916166609400246	si:ch211-202f3.4	si:ch211-202f3.4 [Source:ZFIN;Acc:ZDB-GENE-131120-116]
GO:0004198	calcium-dependent cysteine-type endopept...	12	2	0.04	0.00059	ENSDARG00000098239	0	-0.10365937938748442	zgc:85932	zgc:85932 [Source:ZFIN;Acc:ZDB-GENE-040426-2460]
GO:0004198	calcium-dependent cysteine-type endopept...	12	2	0.04	0.00059	ENSDARG00000034211	1	-0.8403546143876279	capn2l	calpain 2, (m/II) large subunit, like [Source:ZFIN;Acc:ZDB-GENE-050417-341]
GO:0004198	calcium-dependent cysteine-type endopept...	12	2	0.04	0.00059	ENSDARG00000052917	1	-1.046856435069801	si:ch211-202f3.3	si:ch211-202f3.3 [Source:ZFIN;Acc:ZDB-GENE-080917-19]
GO:0071949	FAD binding	21	2	0.06	0.00185	ENSDARG00000005891	0	-0.1413764978729185	cyb5r3	cytochrome b5 reductase 3 [Source:ZFIN;Acc:ZDB-GENE-030131-3281]
GO:0071949	FAD binding	21	2	0.06	0.00185	ENSDARG00000011890	0	-0.4014923657334509	cry4	cryptochrome circadian regulator 4 [Source:ZFIN;Acc:ZDB-GENE-010426-7]
GO:0071949	FAD binding	21	2	0.06	0.00185	ENSDARG00000014727	0	-0.1697308845577688	acox1	acyl-CoA oxidase 1, palmitoyl [Source:ZFIN;Acc:ZDB-GENE-041010-219]
GO:0071949	FAD binding	21	2	0.06	0.00185	ENSDARG00000015228	0	-0.6324665098842398	ero1a	endoplasmic reticulum oxidoreductase alpha [Source:NCBI gene;Acc:393321]
GO:0071949	FAD binding	21	2	0.06	0.00185	ENSDARG00000017034	0	-0.36014083698803545	sqor	sulfide quinone oxidoreductase [Source:ZFIN;Acc:ZDB-GENE-050417-436]
GO:0071949	FAD binding	21	2	0.06	0.00185	ENSDARG00000019498	0	-0.39931369180615645	cry5	cryptochrome circadian regulator 5 [Source:ZFIN;Acc:ZDB-GENE-010426-8]
GO:0071949	FAD binding	21	2	0.06	0.00185	ENSDARG00000020054	0	-0.37816746375802823	aox6	aldehyde oxidase 6 [Source:ZFIN;Acc:ZDB-GENE-050208-742]
GO:0071949	FAD binding	21	2	0.06	0.00185	ENSDARG00000020395	0	-0.23496454828651991	mical2b	microtubule associated monooxygenase, calponin and LIM domain containing 2b [Source:NCBI gene;Acc:569564]
GO:0071949	FAD binding	21	2	0.06	0.00185	ENSDARG00000021154	0	-0.07051050701627305	zgc:92040	zgc:92040 [Source:ZFIN;Acc:ZDB-GENE-040718-87]
GO:0071949	FAD binding	21	2	0.06	0.00185	ENSDARG00000035602	0	-0.04809646348358132	dao.1	D-amino-acid oxidase, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-050913-127]
GO:0071949	FAD binding	21	2	0.06	0.00185	ENSDARG00000038845	0	-0.04659772217837728	ldhd	lactate dehydrogenase D [Source:ZFIN;Acc:ZDB-GENE-030131-6140]
GO:0071949	FAD binding	21	2	0.06	0.00185	ENSDARG00000045768	0	-0.281873129838056	cry1a	cryptochrome circadian regulator 1a [Source:ZFIN;Acc:ZDB-GENE-010426-2]
GO:0071949	FAD binding	21	2	0.06	0.00185	ENSDARG00000055240	0	-0.12130750552721278	xdh	xanthine dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-070719-9]
GO:0071949	FAD binding	21	2	0.06	0.00185	ENSDARG00000060210	0	-0.19923797690926298	d2hgdh	D-2-hydroxyglutarate dehydrogenase [Source:NCBI gene;Acc:565889]
GO:0071949	FAD binding	21	2	0.06	0.00185	ENSDARG00000060380	0	-0.06765373348971569	coq6	coenzyme Q6 monooxygenase [Source:NCBI gene;Acc:751691]
GO:0071949	FAD binding	21	2	0.06	0.00185	ENSDARG00000075608	0	-0.10750776532762857	mical2a	microtubule associated monooxygenase, calponin and LIM domain containing 2a [Source:ZFIN;Acc:ZDB-GENE-110110-2]
GO:0071949	FAD binding	21	2	0.06	0.00185	ENSDARG00000094732	0	-0.16654186133309068	mical3b	Danio rerio microtubule associated monooxygenase, calponin and LIM domain containing 3b (mical3b), mRNA. [Source:RefSeq mRNA;Acc:NM_001353875]
GO:0071949	FAD binding	21	2	0.06	0.00185	ENSDARG00000102403	0	-0.03818816172662641	cry2	cryptochrome circadian regulator 2 [Source:ZFIN;Acc:ZDB-GENE-010426-6]
GO:0071949	FAD binding	21	2	0.06	0.00185	ENSDARG00000103915	0	-0.0588252390842657	ero1b	endoplasmic reticulum oxidoreductase beta [Source:ZFIN;Acc:ZDB-GENE-060929-744]
GO:0071949	FAD binding	21	2	0.06	0.00185	ENSDARG00000069074	1	-0.372945004819363	cry3a	cryptochrome circadian regulator 3a [Source:ZFIN;Acc:ZDB-GENE-010426-4]
GO:0071949	FAD binding	21	2	0.06	0.00185	ENSDARG00000091131	1	-0.7553514549889911	cry3b	cryptochrome circadian regulator 3b [Source:ZFIN;Acc:ZDB-GENE-010426-5]
GO:0030246	carbohydrate binding	45	2	0.14	0.00832	ENSDARG00000012144	0	-0.04475501718985958	emc7	ER membrane protein complex subunit 7 [Source:NCBI gene;Acc:561549]
GO:0030246	carbohydrate binding	45	2	0.14	0.00832	ENSDARG00000015657	0	-0.14622423229955706	zgc:77112	zgc:77112 [Source:ZFIN;Acc:ZDB-GENE-040426-2219]
GO:0030246	carbohydrate binding	45	2	0.14	0.00832	ENSDARG00000016011	0	-0.19111956504985908	gpcpd1	glycerophosphocholine phosphodiesterase 1 [Source:ZFIN;Acc:ZDB-GENE-060503-472]
GO:0030246	carbohydrate binding	45	2	0.14	0.00832	ENSDARG00000025903	0	-0.05599130688375063	lgals9l1	lectin, galactoside-binding, soluble, 9 (galectin 9)-like 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9543]
