GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0032922	circadian regulation of gene expression	25	7	0.21	1.0e-09	ENSDARG00000003631	0	-0.16037926709678954	clockb	clock circadian regulator b [Source:ZFIN;Acc:ZDB-GENE-030408-2]
GO:0032922	circadian regulation of gene expression	25	7	0.21	1.0e-09	ENSDARG00000003820	0	-0.030668562704229563	nr1d2a	nuclear receptor subfamily 1, group D, member 2a [Source:ZFIN;Acc:ZDB-GENE-040504-1]
GO:0032922	circadian regulation of gene expression	25	7	0.21	1.0e-09	ENSDARG00000004060	0	-0.08342000782580315	bhlhe40	basic helix-loop-helix family, member e40 [Source:ZFIN;Acc:ZDB-GENE-030131-3133]
GO:0032922	circadian regulation of gene expression	25	7	0.21	1.0e-09	ENSDARG00000010519	0	-0.23666433221407213	per3	period circadian clock 3 [Source:ZFIN;Acc:ZDB-GENE-000804-1]
GO:0032922	circadian regulation of gene expression	25	7	0.21	1.0e-09	ENSDARG00000011703	0	-0.2561932540860595	clocka	clock circadian regulator a [Source:ZFIN;Acc:ZDB-GENE-990630-14]
GO:0032922	circadian regulation of gene expression	25	7	0.21	1.0e-09	ENSDARG00000011890	0	-0.30056442917636905	cry4	cryptochrome circadian regulator 4 [Source:ZFIN;Acc:ZDB-GENE-010426-7]
GO:0032922	circadian regulation of gene expression	25	7	0.21	1.0e-09	ENSDARG00000012499	0	-0.007636916263127469	per1b	period circadian clock 1b [Source:ZFIN;Acc:ZDB-GENE-040419-1]
GO:0032922	circadian regulation of gene expression	25	7	0.21	1.0e-09	ENSDARG00000027183	0	-0.011447419983724975	namptb	nicotinamide phosphoribosyltransferase b [Source:ZFIN;Acc:ZDB-GENE-030131-2931]
GO:0032922	circadian regulation of gene expression	25	7	0.21	1.0e-09	ENSDARG00000029544	0	-0.09521131315878381	id2b	inhibitor of DNA binding 2b [Source:ZFIN;Acc:ZDB-GENE-030131-15]
GO:0032922	circadian regulation of gene expression	25	7	0.21	1.0e-09	ENSDARG00000033160	0	-0.02447497835003101	nr1d1	nuclear receptor subfamily 1, group d, member 1 [Source:ZFIN;Acc:ZDB-GENE-050105-1]
GO:0032922	circadian regulation of gene expression	25	7	0.21	1.0e-09	ENSDARG00000040764	0	-0.0031630907462993642	id1	inhibitor of DNA binding 1, HLH protein [Source:ZFIN;Acc:ZDB-GENE-990415-96]
GO:0032922	circadian regulation of gene expression	25	7	0.21	1.0e-09	ENSDARG00000054823	0	-0.09315469444490095	id3	inhibitor of DNA binding 3 [Source:ZFIN;Acc:ZDB-GENE-020515-1]
GO:0032922	circadian regulation of gene expression	25	7	0.21	1.0e-09	ENSDARG00000055283	0	-0.015520726960798013	id2a	inhibitor of DNA binding 2a [Source:ZFIN;Acc:ZDB-GENE-020910-1]
GO:0032922	circadian regulation of gene expression	25	7	0.21	1.0e-09	ENSDARG00000058094	0	-0.10333262777521302	ciarta	circadian associated repressor of transcription a [Source:ZFIN;Acc:ZDB-GENE-030131-7016]
GO:0032922	circadian regulation of gene expression	25	7	0.21	1.0e-09	ENSDARG00000076679	0	-0.14756722788219537	rai1	retinoic acid induced 1 [Source:ZFIN;Acc:ZDB-GENE-101203-2]
GO:0032922	circadian regulation of gene expression	25	7	0.21	1.0e-09	ENSDARG00000078525	0	-0.3485687024924676	noctb	nocturnin b [Source:ZFIN;Acc:ZDB-GENE-110930-4]
