GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0071949	FAD binding	20	3	0.19	0.00079	ENSDARG00000005891,ENSDARG00000011890,ENSDARG00000014727,ENSDARG00000015228,ENSDARG00000017034,ENSDARG00000019498,ENSDARG00000020054,ENSDARG00000020395,ENSDARG00000021154,ENSDARG00000038845,ENSDARG00000045768,ENSDARG00000053087,ENSDARG00000055240,ENSDARG00000060210,ENSDARG00000060380,ENSDARG00000069074,ENSDARG00000079664,ENSDARG00000086512,ENSDARG00000091131,ENSDARG00000102403
GO:0016491	oxidoreductase activity	459	12	4.27	0.00098	ENSDARG00000000423,ENSDARG00000001169,ENSDARG00000001873,ENSDARG00000001975,ENSDARG00000002305,ENSDARG00000002467,ENSDARG00000002523,ENSDARG00000003077,ENSDARG00000003098,ENSDARG00000003259,ENSDARG00000003444,ENSDARG00000003675,ENSDARG00000003795,ENSDARG00000003869,ENSDARG00000004141,ENSDARG00000004167,ENSDARG00000004251,ENSDARG00000004406,ENSDARG00000004539,ENSDARG00000004964,ENSDARG00000005560,ENSDARG00000005891,ENSDARG00000006008,ENSDARG00000006040,ENSDARG00000006207,ENSDARG00000006215,ENSDARG00000006399,ENSDARG00000006900,ENSDARG00000007024,ENSDARG00000007429,ENSDARG00000007526,ENSDARG00000007745,ENSDARG00000007959,ENSDARG00000008306,ENSDARG00000008491,ENSDARG00000008785,ENSDARG00000009250,ENSDARG00000009266,ENSDARG00000010113,ENSDARG00000010267,ENSDARG00000011371,ENSDARG00000011770,ENSDARG00000011821,ENSDARG00000012016,ENSDARG00000012021,ENSDARG00000012137,ENSDARG00000012369,ENSDARG00000012387,ENSDARG00000012453,ENSDARG00000012535,ENSDARG00000013044,ENSDARG00000013302,ENSDARG00000014101,ENSDARG00000014646,ENSDARG00000014727,ENSDARG00000015228,ENSDARG00000015343,ENSDARG00000015385,ENSDARG00000015575,ENSDARG00000015709,ENSDARG00000015822,ENSDARG00000016074,ENSDARG00000016213,ENSDARG00000016357,ENSDARG00000016649,ENSDARG00000016687,ENSDARG00000016721,ENSDARG00000017034,ENSDARG00000017038,ENSDARG00000017612,ENSDARG00000017772,ENSDARG00000017781,ENSDARG00000017811,ENSDARG00000017982,ENSDARG00000018008,ENSDARG00000018069,ENSDARG00000018146,ENSDARG00000018266,ENSDARG00000018426,ENSDARG00000018459,ENSDARG00000018485,ENSDARG00000018600,ENSDARG00000019081,ENSDARG00000019103,ENSDARG00000019236,ENSDARG00000019260,ENSDARG00000019644,ENSDARG00000019838,ENSDARG00000019986,ENSDARG00000020054,ENSDARG00000020143,ENSDARG00000020395,ENSDARG00000020448,ENSDARG00000020711,ENSDARG00000020898,ENSDARG00000021135,ENSDARG00000021149,ENSDARG00000021154,ENSDARG00000021346,ENSDARG00000021979,ENSDARG00000022438,ENSDARG00000022631,ENSDARG00000022650,ENSDARG00000023176,ENSDARG00000023287,ENSDARG00000023323,ENSDARG00000023536,ENSDARG00000023648,ENSDARG00000023712,ENSDARG00000023820,ENSDARG00000024160,ENSDARG00000024278,ENSDARG00000024564,ENSDARG00000024717,ENSDARG00000025089,ENSDARG00000025350,ENSDARG00000025375,ENSDARG00000026236,ENSDARG00000026322,ENSDARG00000026403,ENSDARG00000026548,ENSDARG00000026902,ENSDARG00000027009,ENSDARG00000027529,ENSDARG00000027992,ENSDARG00000028048,ENSDARG00000028087,ENSDARG00000028106,ENSDARG00000028257,ENSDARG00000029204,ENSDARG00000029259,ENSDARG00000029432,ENSDARG00000029587,ENSDARG00000029795,ENSDARG00000030265,ENSDARG00000030278,ENSDARG00000030478,ENSDARG00000030621,ENSDARG00000030765,ENSDARG00000030781,ENSDARG00000031299,ENSDARG00000031336,ENSDARG00000031366,ENSDARG00000031435,ENSDARG00000032102,ENSDARG00000032326,ENSDARG00000032553,ENSDARG00000032816,ENSDARG00000032970,ENSDARG00000033285,ENSDARG00000033364,ENSDARG00000033367,ENSDARG00000033537,ENSDARG00000033802,ENSDARG00000033999,ENSDARG00000034048,ENSDARG00000034270,ENSDARG00000034577,ENSDARG00000035546,ENSDARG00000035569,ENSDARG00000035579,ENSDARG00000035872,ENSDARG00000036135,ENSDARG00000036438,ENSDARG00000036587,ENSDARG00000036776,ENSDARG00000036966,ENSDARG00000036967,ENSDARG00000037057,ENSDARG00000037378,ENSDARG00000037550,ENSDARG00000037935,ENSDARG00000038075,ENSDARG00000038176,ENSDARG00000038207,ENSDARG00000038297,ENSDARG00000038384,ENSDARG00000038608,ENSDARG00000038834,ENSDARG00000038845,ENSDARG00000038900,ENSDARG00000038956,ENSDARG00000038969,ENSDARG00000038980,ENSDARG00000039067,ENSDARG00000039299,ENSDARG00000039459,ENSDARG00000039563,ENSDARG00000039666,ENSDARG00000039914,ENSDARG00000040024,ENSDARG00000040190,ENSDARG00000040287,ENSDARG00000040492,ENSDARG00000040707,ENSDARG00000040741,ENSDARG00000041137,ENSDARG00000041715,ENSDARG00000042014,ENSDARG00000042539,ENSDARG00000042544,ENSDARG00000042644,ENSDARG00000042658,ENSDARG00000042827,ENSDARG00000042853,ENSDARG00000042953,ENSDARG00000042956,ENSDARG00000042978,ENSDARG00000042980,ENSDARG00000042982,ENSDARG00000042990,ENSDARG00000043180,ENSDARG00000043307,ENSDARG00000043511,ENSDARG00000043562,ENSDARG00000043665,ENSDARG00000043877,ENSDARG00000044010,ENSDARG00000044062,ENSDARG00000044074,ENSDARG00000044125,ENSDARG00000044216,ENSDARG00000044562,ENSDARG00000044753,ENSDARG00000044803,ENSDARG00000044935,ENSDARG00000044982,ENSDARG00000045143,ENSDARG00000045144,ENSDARG00000045257,ENSDARG00000045277,ENSDARG00000045411,ENSDARG00000045658,ENSDARG00000045733,ENSDARG00000046030,ENSDARG00000051889,ENSDARG00000051986,ENSDARG00000052030,ENSDARG00000052148,ENSDARG00000052190,ENSDARG00000052247,ENSDARG00000052700,ENSDARG00000052840,ENSDARG00000053087,ENSDARG00000053215,ENSDARG00000053217,ENSDARG00000053405,ENSDARG00000053483,ENSDARG00000053485,ENSDARG00000053493,ENSDARG00000053571,ENSDARG00000054300,ENSDARG00000054420,ENSDARG00000054451,ENSDARG00000054797,ENSDARG00000054907,ENSDARG00000054934,ENSDARG00000055064,ENSDARG00000055092,ENSDARG00000055159,ENSDARG00000055240,ENSDARG00000055270,ENSDARG00000055331,ENSDARG00000055591,ENSDARG00000055620,ENSDARG00000055901,ENSDARG00000055976,ENSDARG00000056029,ENSDARG00000056151,ENSDARG00000056281,ENSDARG00000056410,ENSDARG00000056510,ENSDARG00000057055,ENSDARG00000057128,ENSDARG00000057239,ENSDARG00000057262,ENSDARG00000057378,ENSDARG00000057879,ENSDARG00000058005,ENSDARG00000058102,ENSDARG00000058730,ENSDARG00000058734,ENSDARG00000059035,ENSDARG00000059388,ENSDARG00000059857,ENSDARG00000060094,ENSDARG00000060210,ENSDARG00000060243,ENSDARG00000060380,ENSDARG00000060500,ENSDARG00000060584,ENSDARG00000060594,ENSDARG00000060679,ENSDARG00000061355,ENSDARG00000061585,ENSDARG00000061634,ENSDARG00000062025,ENSDARG00000062132,ENSDARG00000062226,ENSDARG00000062442,ENSDARG00000062594,ENSDARG00000062632,ENSDARG00000062664,ENSDARG00000063319,ENSDARG00000063899,ENSDARG00000063908,ENSDARG00000063914,ENSDARG00000063916,ENSDARG00000063917,ENSDARG00000067630,ENSDARG00000068264,ENSDARG00000068283,ENSDARG00000068290,ENSDARG00000068415,ENSDARG00000068474,ENSDARG00000068478,ENSDARG00000068493,ENSDARG00000068876,ENSDARG00000068934,ENSDARG00000069003,ENSDARG00000069013,ENSDARG00000069186,ENSDARG00000069296,ENSDARG00000069446,ENSDARG00000069464,ENSDARG00000069672,ENSDARG00000069966,ENSDARG00000070012,ENSDARG00000070029,ENSDARG00000070061,ENSDARG00000070230,ENSDARG00000070673,ENSDARG00000070775,ENSDARG00000071065,ENSDARG00000071076,ENSDARG00000071212,ENSDARG00000071233,ENSDARG00000071333,ENSDARG00000071345,ENSDARG00000071377,ENSDARG00000071429,ENSDARG00000071877,ENSDARG00000073764,ENSDARG00000074356,ENSDARG00000074552,ENSDARG00000074727,ENSDARG00000075629,ENSDARG00000075664,ENSDARG00000075726,ENSDARG00000075766,ENSDARG00000075768,ENSDARG00000075813,ENSDARG00000075933,ENSDARG00000076317,ENSDARG00000076544,ENSDARG00000076780,ENSDARG00000076836,ENSDARG00000076933,ENSDARG00000077004,ENSDARG00000077121,ENSDARG00000077174,ENSDARG00000077547,ENSDARG00000077549,ENSDARG00000077607,ENSDARG00000077698,ENSDARG00000078133,ENSDARG00000078703,ENSDARG00000078847,ENSDARG00000078942,ENSDARG00000079183,ENSDARG00000079249,ENSDARG00000079271,ENSDARG00000079280,ENSDARG00000079305,ENSDARG00000079664,ENSDARG00000086183,ENSDARG00000086512,ENSDARG00000086523,ENSDARG00000086853,ENSDARG00000087017,ENSDARG00000087191,ENSDARG00000087247,ENSDARG00000087390,ENSDARG00000088013,ENSDARG00000088330,ENSDARG00000088357,ENSDARG00000088366,ENSDARG00000088383,ENSDARG00000089019,ENSDARG00000089124,ENSDARG00000089177,ENSDARG00000089475,ENSDARG00000089485,ENSDARG00000089924,ENSDARG00000091511,ENSDARG00000092052,ENSDARG00000092522,ENSDARG00000092660,ENSDARG00000092696,ENSDARG00000092976,ENSDARG00000094752,ENSDARG00000095577,ENSDARG00000097489,ENSDARG00000098584,ENSDARG00000098589,ENSDARG00000098639,ENSDARG00000098646,ENSDARG00000098746,ENSDARG00000098838,ENSDARG00000098995,ENSDARG00000099154,ENSDARG00000099213,ENSDARG00000099217,ENSDARG00000099389,ENSDARG00000099419,ENSDARG00000099579,ENSDARG00000099663,ENSDARG00000099675,ENSDARG00000099705,ENSDARG00000099728,ENSDARG00000099873,ENSDARG00000100170,ENSDARG00000100374,ENSDARG00000100944,ENSDARG00000101074,ENSDARG00000101190,ENSDARG00000101195,ENSDARG00000101239,ENSDARG00000101251,ENSDARG00000101280,ENSDARG00000101423,ENSDARG00000101585,ENSDARG00000101631,ENSDARG00000101749,ENSDARG00000101789,ENSDARG00000101861,ENSDARG00000102167,ENSDARG00000102254,ENSDARG00000102379,ENSDARG00000102671,ENSDARG00000102720,ENSDARG00000102744,ENSDARG00000102981,ENSDARG00000103026,ENSDARG00000103277,ENSDARG00000103766,ENSDARG00000104256,ENSDARG00000104593,ENSDARG00000104702,ENSDARG00000104817,ENSDARG00000104829,ENSDARG00000105442,ENSDARG00000106158,ENSDARG00000110366,ENSDARG00000110700,ENSDARG00000111240,ENSDARG00000114695,ENSDARG00000115405,ENSDARG00000115557
GO:0008201	heparin binding	25	3	0.23	0.00153	ENSDARG00000010785,ENSDARG00000012593,ENSDARG00000017542,ENSDARG00000020708,ENSDARG00000027360,ENSDARG00000033604,ENSDARG00000036036,ENSDARG00000038593,ENSDARG00000040944,ENSDARG00000042934,ENSDARG00000045071,ENSDARG00000052057,ENSDARG00000054331,ENSDARG00000054864,ENSDARG00000055543,ENSDARG00000070857,ENSDARG00000071048,ENSDARG00000077641,ENSDARG00000090035,ENSDARG00000098368,ENSDARG00000099266,ENSDARG00000102777,ENSDARG00000103542,ENSDARG00000103775,ENSDARG00000104292
GO:0005509	calcium ion binding	337	9	3.13	0.00385	ENSDARG00000002192,ENSDARG00000002336,ENSDARG00000002589,ENSDARG00000002632,ENSDARG00000002877,ENSDARG00000003058,ENSDARG00000003216,ENSDARG00000003414,ENSDARG00000003705,ENSDARG00000003706,ENSDARG00000003994,ENSDARG00000004232,ENSDARG00000004470,ENSDARG00000005023,ENSDARG00000005115,ENSDARG00000005220,ENSDARG00000006257,ENSDARG00000006990,ENSDARG00000007804,ENSDARG00000008030,ENSDARG00000008127,ENSDARG00000008494,ENSDARG00000008553,ENSDARG00000008568,ENSDARG00000008866,ENSDARG00000008982,ENSDARG00000009153,ENSDARG00000009311,ENSDARG00000009315,ENSDARG00000009336,ENSDARG00000009637,ENSDARG00000009939,ENSDARG00000009978,ENSDARG00000010097,ENSDARG00000010454,ENSDARG00000010524,ENSDARG00000010572,ENSDARG00000010728,ENSDARG00000010785,ENSDARG00000010791,ENSDARG00000010962,ENSDARG00000011257,ENSDARG00000011400,ENSDARG00000011459,ENSDARG00000011519,ENSDARG00000011640,ENSDARG00000011825,ENSDARG00000012138,ENSDARG00000012192,ENSDARG00000012535,ENSDARG00000013393,ENSDARG00000013613,ENSDARG00000013653,ENSDARG00000013804,ENSDARG00000013976,ENSDARG00000014098,ENSDARG00000014215,ENSDARG00000014522,ENSDARG00000015002,ENSDARG00000015050,ENSDARG00000015156,ENSDARG00000015199,ENSDARG00000015349,ENSDARG00000015543,ENSDARG00000015559,ENSDARG00000015662,ENSDARG00000015947,ENSDARG00000016470,ENSDARG00000016936,ENSDARG00000017141,ENSDARG00000017880,ENSDARG00000018397,ENSDARG00000018423,ENSDARG00000019096,ENSDARG00000019353,ENSDARG00000019902,ENSDARG00000019990,ENSDARG00000020072,ENSDARG00000020187,ENSDARG00000020219,ENSDARG00000020279,ENSDARG00000020581,ENSDARG00000020811,ENSDARG00000021389,ENSDARG00000021442,ENSDARG00000021811,ENSDARG00000022503,ENSDARG00000022763,ENSDARG00000022817,ENSDARG00000023228,ENSDARG00000023989,ENSDARG00000024433,ENSDARG00000025254,ENSDARG00000026406,ENSDARG00000026726,ENSDARG00000028053,ENSDARG00000028071,ENSDARG00000028346,ENSDARG00000028448,ENSDARG00000028485,ENSDARG00000029071,ENSDARG00000030153,ENSDARG00000030215,ENSDARG00000030289,ENSDARG00000030614,ENSDARG00000030753,ENSDARG00000030832,ENSDARG00000030839,ENSDARG00000031427,ENSDARG00000031463,ENSDARG00000031598,ENSDARG00000032836,ENSDARG00000032976,ENSDARG00000033738,ENSDARG00000034187,ENSDARG00000034211,ENSDARG00000034862,ENSDARG00000035329,ENSDARG00000035682,ENSDARG00000036291,ENSDARG00000036299,ENSDARG00000036344,ENSDARG00000036424,ENSDARG00000036505,ENSDARG00000036773,ENSDARG00000037256,ENSDARG00000037539,ENSDARG00000037598,ENSDARG00000037790,ENSDARG00000037961,ENSDARG00000038123,ENSDARG00000038258,ENSDARG00000038428,ENSDARG00000038716,ENSDARG00000038729,ENSDARG00000039272,ENSDARG00000039273,ENSDARG00000039378,ENSDARG00000039576,ENSDARG00000039757,ENSDARG00000040362,ENSDARG00000040466,ENSDARG00000040684,ENSDARG00000040695,ENSDARG00000041062,ENSDARG00000041215,ENSDARG00000041379,ENSDARG00000041728,ENSDARG00000041864,ENSDARG00000042245,ENSDARG00000042937,ENSDARG00000043035,ENSDARG00000043283,ENSDARG00000043446,ENSDARG00000044048,ENSDARG00000044167,ENSDARG00000044254,ENSDARG00000044319,ENSDARG00000044629,ENSDARG00000045129,ENSDARG00000045199,ENSDARG00000045420,ENSDARG00000045676,ENSDARG00000045737,ENSDARG00000045750,ENSDARG00000045958,ENSDARG00000051896,ENSDARG00000052016,ENSDARG00000052223,ENSDARG00000052277,ENSDARG00000052375,ENSDARG00000052494,ENSDARG00000052702,ENSDARG00000052917,ENSDARG00000053130,ENSDARG00000053424,ENSDARG00000053625,ENSDARG00000053636,ENSDARG00000054302,ENSDARG00000054362,ENSDARG00000055305,ENSDARG00000055514,ENSDARG00000055539,ENSDARG00000055589,ENSDARG00000055715,ENSDARG00000055759,ENSDARG00000055843,ENSDARG00000056328,ENSDARG00000056535,ENSDARG00000056566,ENSDARG00000056922,ENSDARG00000056978,ENSDARG00000057598,ENSDARG00000057975,ENSDARG00000058348,ENSDARG00000058579,ENSDARG00000058593,ENSDARG00000058732,ENSDARG00000058839,ENSDARG00000059123,ENSDARG00000059347,ENSDARG00000059960,ENSDARG00000060081,ENSDARG00000060298,ENSDARG00000060410,ENSDARG00000060626,ENSDARG00000060637,ENSDARG00000061377,ENSDARG00000062328,ENSDARG00000062632,ENSDARG00000062750,ENSDARG00000063358,ENSDARG00000068261,ENSDARG00000068586,ENSDARG00000068710,ENSDARG00000069245,ENSDARG00000069360,ENSDARG00000069766,ENSDARG00000070074,ENSDARG00000070266,ENSDARG00000070425,ENSDARG00000070427,ENSDARG00000070491,ENSDARG00000070682,ENSDARG00000070688,ENSDARG00000071601,ENSDARG00000073810,ENSDARG00000074057,ENSDARG00000074129,ENSDARG00000074163,ENSDARG00000074794,ENSDARG00000074808,ENSDARG00000075393,ENSDARG00000075444,ENSDARG00000075549,ENSDARG00000075707,ENSDARG00000075800,ENSDARG00000076004,ENSDARG00000076290,ENSDARG00000076484,ENSDARG00000076592,ENSDARG00000077383,ENSDARG00000077570,ENSDARG00000077641,ENSDARG00000077826,ENSDARG00000077938,ENSDARG00000078060,ENSDARG00000078404,ENSDARG00000078599,ENSDARG00000079388,ENSDARG00000079572,ENSDARG00000079751,ENSDARG00000087013,ENSDARG00000087190,ENSDARG00000087558,ENSDARG00000088100,ENSDARG00000088136,ENSDARG00000088157,ENSDARG00000088475,ENSDARG00000089441,ENSDARG00000089805,ENSDARG00000089874,ENSDARG00000090170,ENSDARG00000090348,ENSDARG00000090690,ENSDARG00000091043,ENSDARG00000091072,ENSDARG00000091699,ENSDARG00000093413,ENSDARG00000093480,ENSDARG00000093628,ENSDARG00000094055,ENSDARG00000094648,ENSDARG00000096932,ENSDARG00000097063,ENSDARG00000097170,ENSDARG00000097535,ENSDARG00000097993,ENSDARG00000098237,ENSDARG00000098239,ENSDARG00000098481,ENSDARG00000098566,ENSDARG00000098645,ENSDARG00000098788,ENSDARG00000098853,ENSDARG00000098963,ENSDARG00000099092,ENSDARG00000099137,ENSDARG00000099183,ENSDARG00000099344,ENSDARG00000099353,ENSDARG00000099447,ENSDARG00000099535,ENSDARG00000099646,ENSDARG00000099766,ENSDARG00000099931,ENSDARG00000099996,ENSDARG00000100104,ENSDARG00000100131,ENSDARG00000100657,ENSDARG00000100700,ENSDARG00000100747,ENSDARG00000101181,ENSDARG00000101214,ENSDARG00000101232,ENSDARG00000101510,ENSDARG00000101567,ENSDARG00000101667,ENSDARG00000101697,ENSDARG00000101776,ENSDARG00000102362,ENSDARG00000102769,ENSDARG00000102777,ENSDARG00000102820,ENSDARG00000102977,ENSDARG00000103129,ENSDARG00000103498,ENSDARG00000103521,ENSDARG00000103533,ENSDARG00000103554,ENSDARG00000103602,ENSDARG00000103713,ENSDARG00000103775,ENSDARG00000103906,ENSDARG00000103950,ENSDARG00000103979,ENSDARG00000104057,ENSDARG00000104332,ENSDARG00000104440,ENSDARG00000104598,ENSDARG00000104722,ENSDARG00000105190,ENSDARG00000105631,ENSDARG00000109513,ENSDARG00000111827,ENSDARG00000113766,ENSDARG00000117093
GO:0033293	monocarboxylic acid binding	11	2	0.1	0.00445	ENSDARG00000006427,ENSDARG00000014727,ENSDARG00000027088,ENSDARG00000035904,ENSDARG00000040926,ENSDARG00000045926,ENSDARG00000051939,ENSDARG00000057741,ENSDARG00000059227,ENSDARG00000098766,ENSDARG00000103398
GO:0004198	calcium-dependent cysteine-type endopept...	12	2	0.11	0.00530	ENSDARG00000008553,ENSDARG00000034211,ENSDARG00000041864,ENSDARG00000043035,ENSDARG00000045199,ENSDARG00000052702,ENSDARG00000052917,ENSDARG00000055715,ENSDARG00000061850,ENSDARG00000069748,ENSDARG00000091699,ENSDARG00000098239
GO:0046906	tetrapyrrole binding	84	4	0.78	0.00760	ENSDARG00000004539,ENSDARG00000004964,ENSDARG00000006040,ENSDARG00000012137,ENSDARG00000012535,ENSDARG00000015575,ENSDARG00000017982,ENSDARG00000018485,ENSDARG00000020898,ENSDARG00000022631,ENSDARG00000022650,ENSDARG00000023176,ENSDARG00000026548,ENSDARG00000027529,ENSDARG00000031506,ENSDARG00000031952,ENSDARG00000033802,ENSDARG00000033999,ENSDARG00000035564,ENSDARG00000035569,ENSDARG00000037550,ENSDARG00000038075,ENSDARG00000038957,ENSDARG00000042014,ENSDARG00000042630,ENSDARG00000042953,ENSDARG00000042956,ENSDARG00000042978,ENSDARG00000042980,ENSDARG00000042982,ENSDARG00000042990,ENSDARG00000043877,ENSDARG00000044562,ENSDARG00000045143,ENSDARG00000045144,ENSDARG00000052148,ENSDARG00000053475,ENSDARG00000055159,ENSDARG00000056029,ENSDARG00000057262,ENSDARG00000060094,ENSDARG00000060554,ENSDARG00000061585,ENSDARG00000062132,ENSDARG00000062632,ENSDARG00000068088,ENSDARG00000068283,ENSDARG00000068290,ENSDARG00000068493,ENSDARG00000068934,ENSDARG00000069186,ENSDARG00000070775,ENSDARG00000071429,ENSDARG00000073764,ENSDARG00000075015,ENSDARG00000077121,ENSDARG00000079305,ENSDARG00000086790,ENSDARG00000087390,ENSDARG00000088013,ENSDARG00000088330,ENSDARG00000089124,ENSDARG00000089177,ENSDARG00000089475,ENSDARG00000091996,ENSDARG00000092660,ENSDARG00000092696,ENSDARG00000098589,ENSDARG00000098995,ENSDARG00000101190,ENSDARG00000101195,ENSDARG00000101423,ENSDARG00000101789,ENSDARG00000101861,ENSDARG00000102981,ENSDARG00000103277,ENSDARG00000103766,ENSDARG00000104593,ENSDARG00000104702,ENSDARG00000104906,ENSDARG00000110366,ENSDARG00000113599,ENSDARG00000114695,ENSDARG00000115405
GO:0003684	damaged DNA binding	15	2	0.14	0.00828	ENSDARG00000002613,ENSDARG00000009494,ENSDARG00000014161,ENSDARG00000021550,ENSDARG00000021985,ENSDARG00000029250,ENSDARG00000031680,ENSDARG00000032263,ENSDARG00000039754,ENSDARG00000041140,ENSDARG00000059963,ENSDARG00000060002,ENSDARG00000071551,ENSDARG00000091821,ENSDARG00000099298
GO:0016830	carbon-carbon lyase activity	21	2	0.2	0.01598	ENSDARG00000002396,ENSDARG00000011665,ENSDARG00000013522,ENSDARG00000015537,ENSDARG00000016494,ENSDARG00000018944,ENSDARG00000019498,ENSDARG00000019702,ENSDARG00000020956,ENSDARG00000026348,ENSDARG00000027419,ENSDARG00000035869,ENSDARG00000043856,ENSDARG00000052462,ENSDARG00000055370,ENSDARG00000056102,ENSDARG00000057661,ENSDARG00000062549,ENSDARG00000067805,ENSDARG00000078479,ENSDARG00000099519
GO:0016746	transferase activity, transferring acyl ...	106	4	0.99	0.01679	ENSDARG00000004402,ENSDARG00000004472,ENSDARG00000004587,ENSDARG00000004687,ENSDARG00000004880,ENSDARG00000005176,ENSDARG00000005576,ENSDARG00000005643,ENSDARG00000005913,ENSDARG00000006491,ENSDARG00000007127,ENSDARG00000007808,ENSDARG00000012194,ENSDARG00000013704,ENSDARG00000014230,ENSDARG00000016048,ENSDARG00000016545,ENSDARG00000018846,ENSDARG00000019897,ENSDARG00000021808,ENSDARG00000023526,ENSDARG00000026875,ENSDARG00000027187,ENSDARG00000027495,ENSDARG00000029039,ENSDARG00000029356,ENSDARG00000030368,ENSDARG00000030563,ENSDARG00000031845,ENSDARG00000032272,ENSDARG00000034757,ENSDARG00000035652,ENSDARG00000036066,ENSDARG00000036549,ENSDARG00000036893,ENSDARG00000037069,ENSDARG00000037278,ENSDARG00000038618,ENSDARG00000038643,ENSDARG00000038881,ENSDARG00000039051,ENSDARG00000039493,ENSDARG00000040248,ENSDARG00000040352,ENSDARG00000041421,ENSDARG00000041708,ENSDARG00000042872,ENSDARG00000042995,ENSDARG00000045888,ENSDARG00000051756,ENSDARG00000052966,ENSDARG00000053575,ENSDARG00000055172,ENSDARG00000057206,ENSDARG00000058285,ENSDARG00000058992,ENSDARG00000059770,ENSDARG00000061185,ENSDARG00000062054,ENSDARG00000068590,ENSDARG00000069279,ENSDARG00000069538,ENSDARG00000070157,ENSDARG00000070371,ENSDARG00000071425,ENSDARG00000071872,ENSDARG00000074169,ENSDARG00000074684,ENSDARG00000075225,ENSDARG00000075561,ENSDARG00000075721,ENSDARG00000076202,ENSDARG00000076402,ENSDARG00000076563,ENSDARG00000076632,ENSDARG00000077546,ENSDARG00000077652,ENSDARG00000078541,ENSDARG00000079244,ENSDARG00000079686,ENSDARG00000079802,ENSDARG00000086222,ENSDARG00000086737,ENSDARG00000089717,ENSDARG00000093006,ENSDARG00000095908,ENSDARG00000096594,ENSDARG00000098782,ENSDARG00000098855,ENSDARG00000099056,ENSDARG00000100021,ENSDARG00000101039,ENSDARG00000101407,ENSDARG00000101595,ENSDARG00000102055,ENSDARG00000102106,ENSDARG00000102568,ENSDARG00000103271,ENSDARG00000103364,ENSDARG00000103503,ENSDARG00000103735,ENSDARG00000103813,ENSDARG00000104734,ENSDARG00000105134,ENSDARG00000115349,ENSDARG00000116385
