GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0032922	circadian regulation of gene expression	29	7	0.47	3.2e-07	ENSDARG00000003631	0	-0.16037926709678274	clockb	clock circadian regulator b [Source:ZFIN;Acc:ZDB-GENE-030408-2]
GO:0032922	circadian regulation of gene expression	29	7	0.47	3.2e-07	ENSDARG00000003820	0	-0.030668562704244826	nr1d2a	nuclear receptor subfamily 1, group D, member 2a [Source:ZFIN;Acc:ZDB-GENE-040504-1]
GO:0032922	circadian regulation of gene expression	29	7	0.47	3.2e-07	ENSDARG00000004060	0	-0.08342000782580283	bhlhe40	basic helix-loop-helix family, member e40 [Source:ZFIN;Acc:ZDB-GENE-030131-3133]
GO:0032922	circadian regulation of gene expression	29	7	0.47	3.2e-07	ENSDARG00000010519	0	-0.2366643322140763	per3	period circadian clock 3 [Source:ZFIN;Acc:ZDB-GENE-000804-1]
GO:0032922	circadian regulation of gene expression	29	7	0.47	3.2e-07	ENSDARG00000011703	0	-0.2561932540860211	clocka	clock circadian regulator a [Source:ZFIN;Acc:ZDB-GENE-990630-14]
GO:0032922	circadian regulation of gene expression	29	7	0.47	3.2e-07	ENSDARG00000011890	0	-0.30056442917636705	cry4	cryptochrome circadian regulator 4 [Source:ZFIN;Acc:ZDB-GENE-010426-7]
GO:0032922	circadian regulation of gene expression	29	7	0.47	3.2e-07	ENSDARG00000012499	0	-0.007636916263121719	per1b	period circadian clock 1b [Source:ZFIN;Acc:ZDB-GENE-040419-1]
GO:0032922	circadian regulation of gene expression	29	7	0.47	3.2e-07	ENSDARG00000027183	0	-0.011447419983710242	namptb	nicotinamide phosphoribosyltransferase b [Source:ZFIN;Acc:ZDB-GENE-030131-2931]
GO:0032922	circadian regulation of gene expression	29	7	0.47	3.2e-07	ENSDARG00000029544	0	-0.0952113131588442	id2b	inhibitor of DNA binding 2b [Source:ZFIN;Acc:ZDB-GENE-030131-15]
GO:0032922	circadian regulation of gene expression	29	7	0.47	3.2e-07	ENSDARG00000033160	0	-0.02447497835002561	nr1d1	nuclear receptor subfamily 1, group d, member 1 [Source:ZFIN;Acc:ZDB-GENE-050105-1]
GO:0032922	circadian regulation of gene expression	29	7	0.47	3.2e-07	ENSDARG00000040764	0	-0.0031630907463234175	id1	inhibitor of DNA binding 1, HLH protein [Source:ZFIN;Acc:ZDB-GENE-990415-96]
GO:0032922	circadian regulation of gene expression	29	7	0.47	3.2e-07	ENSDARG00000041691	0	0.20028468605491762	bhlhe41	basic helix-loop-helix family, member e41 [Source:ZFIN;Acc:ZDB-GENE-050419-146]
GO:0032922	circadian regulation of gene expression	29	7	0.47	3.2e-07	ENSDARG00000045131	0	0.07259448111679782	id4	inhibitor of DNA binding 4 [Source:ZFIN;Acc:ZDB-GENE-051113-208]
GO:0032922	circadian regulation of gene expression	29	7	0.47	3.2e-07	ENSDARG00000054823	0	-0.09315469444494795	id3	inhibitor of DNA binding 3 [Source:ZFIN;Acc:ZDB-GENE-020515-1]
GO:0032922	circadian regulation of gene expression	29	7	0.47	3.2e-07	ENSDARG00000055283	0	-0.015520726960874283	id2a	inhibitor of DNA binding 2a [Source:ZFIN;Acc:ZDB-GENE-020910-1]
GO:0032922	circadian regulation of gene expression	29	7	0.47	3.2e-07	ENSDARG00000056885	0	0.2830813362963576	per1a	period circadian clock 1a [Source:ZFIN;Acc:ZDB-GENE-011220-1]
GO:0032922	circadian regulation of gene expression	29	7	0.47	3.2e-07	ENSDARG00000058094	0	-0.10333262777515947	ciarta	circadian associated repressor of transcription a [Source:ZFIN;Acc:ZDB-GENE-030131-7016]
GO:0032922	circadian regulation of gene expression	29	7	0.47	3.2e-07	ENSDARG00000076679	0	-0.14756722788226692	rai1	retinoic acid induced 1 [Source:ZFIN;Acc:ZDB-GENE-101203-2]
GO:0032922	circadian regulation of gene expression	29	7	0.47	3.2e-07	ENSDARG00000077726	0	0.07979578616118549	nocta	nocturnin a [Source:ZFIN;Acc:ZDB-GENE-050208-306]
GO:0032922	circadian regulation of gene expression	29	7	0.47	3.2e-07	ENSDARG00000078525	0	-0.34856870249239263	noctb	nocturnin b [Source:ZFIN;Acc:ZDB-GENE-110930-4]
GO:0032922	circadian regulation of gene expression	29	7	0.47	3.2e-07	ENSDARG00000088171	0	-0.009627691968940248	ciartb	circadian associated repressor of transcription b [Source:ZFIN;Acc:ZDB-GENE-131127-285]
GO:0032922	circadian regulation of gene expression	29	7	0.47	3.2e-07	ENSDARG00000102403	0	-0.015073195700842897	cry2	cryptochrome circadian regulator 2 [Source:ZFIN;Acc:ZDB-GENE-010426-6]
